component_id,lot_id,value_0h,value_24h,value_96h,value_168h,defect_type,is_defect
COMP_00001,Lot_B,12.222,12.482,13.071,13.34,Healthy,0
COMP_00002,Lot_C,10.332,10.607,11.045,11.345,Healthy,0
COMP_00003,Lot_C,11.093,11.296,11.528,11.942,Healthy,0
COMP_00004,Lot_B,11.679,11.984,12.594,13.007,Healthy,0
COMP_00005,Lot_A,9.357,9.769,10.335,10.718,Healthy,0
COMP_00006,Lot_A,9.807,10.198,10.86,11.161,Healthy,0
COMP_00007,Lot_A,7.417,8.506,19.062,37.46,Latent Defect,1
COMP_00008,Lot_C,9.814,10.109,10.383,10.747,Healthy,0
COMP_00009,Lot_B,14.23,14.524,15.057,15.567,Healthy,0
COMP_00010,Lot_C,9.94,10.138,10.731,11.198,Healthy,0
COMP_00011,Lot_A,8.947,10.115,19.617,34.425,Latent Defect,1
COMP_00012,Lot_C,11.002,11.338,11.63,12.067,Healthy,0
COMP_00013,Lot_C,10.364,10.532,10.837,11.225,Healthy,0
COMP_00014,Lot_A,8.182,8.577,9.142,9.539,Healthy,0
COMP_00015,Lot_A,8.918,9.275,9.827,10.226,Healthy,0
COMP_00016,Lot_A,7.716,8.211,8.528,8.847,Healthy,0
COMP_00017,Lot_A,7.176,7.469,7.937,8.364,Healthy,0
COMP_00018,Lot_B,11.087,11.426,11.779,12.114,Healthy,0
COMP_00019,Lot_B,14.025,14.296,14.785,15.215,Healthy,0
COMP_00020,Lot_A,8.843,22.82,56.987,118.682,Gross Failure,1
COMP_00021,Lot_B,12.015,12.345,12.829,13.187,Healthy,0
COMP_00022,Lot_A,9.454,9.694,10.122,10.424,Healthy,0
COMP_00023,Lot_A,8.774,9.049,9.419,9.751,Healthy,0
COMP_00024,Lot_B,12.274,12.468,12.71,13.037,Healthy,0
COMP_00025,Lot_B,11.128,11.341,11.717,12.172,Healthy,0
COMP_00026,Lot_C,9.087,9.276,9.68,9.972,Healthy,0
COMP_00027,Lot_A,9.595,9.754,10.159,10.542,Healthy,0
COMP_00028,Lot_B,13.969,14.189,14.409,14.744,Healthy,0
COMP_00029,Lot_B,14.487,14.76,15.238,15.482,Healthy,0
COMP_00030,Lot_A,7.567,7.819,8.098,8.526,Healthy,0
COMP_00031,Lot_B,12.069,12.317,12.54,12.851,Healthy,0
COMP_00032,Lot_A,7.551,7.616,8.131,8.645,Healthy,0
COMP_00033,Lot_A,9.404,9.708,10.108,10.539,Healthy,0
COMP_00034,Lot_C,11.101,11.362,11.67,11.97,Healthy,0
COMP_00035,Lot_C,11.532,12.717,17.23,31.558,Latent Defect,1
COMP_00036,Lot_C,9.618,9.951,10.368,10.824,Healthy,0
COMP_00037,Lot_A,8.079,8.172,8.563,8.947,Healthy,0
COMP_00038,Lot_A,8.71,8.859,9.267,9.885,Healthy,0
COMP_00039,Lot_B,11.643,11.946,12.145,12.581,Healthy,0
COMP_00040,Lot_B,12.018,12.301,12.596,12.975,Healthy,0
COMP_00041,Lot_A,7.773,7.966,8.469,8.776,Healthy,0
COMP_00042,Lot_B,13.418,13.653,14.111,14.506,Healthy,0
COMP_00043,Lot_A,8.22,8.39,8.776,9.246,Healthy,0
COMP_00044,Lot_C,10.105,10.287,10.785,11.182,Healthy,0
COMP_00045,Lot_A,8.916,9.088,9.456,9.738,Healthy,0
COMP_00046,Lot_B,12.603,12.896,13.382,13.769,Healthy,0
COMP_00047,Lot_A,9.583,10.921,20.208,35.249,Latent Defect,1
COMP_00048,Lot_B,12.214,12.443,12.993,13.34,Healthy,0
COMP_00049,Lot_B,12.278,12.47,12.911,13.35,Healthy,0
COMP_00050,Lot_A,9.773,10.006,10.451,10.68,Healthy,0
COMP_00051,Lot_C,11.745,11.883,12.474,12.787,Healthy,0
COMP_00052,Lot_C,9.461,9.622,10.361,10.733,Healthy,0
COMP_00053,Lot_C,10.019,10.34,10.712,11.062,Healthy,0
COMP_00054,Lot_C,10.051,10.26,10.854,11.182,Healthy,0
COMP_00055,Lot_B,11.292,11.517,11.997,12.258,Healthy,0
COMP_00056,Lot_C,9.267,9.473,10.07,10.371,Healthy,0
COMP_00057,Lot_A,9.643,9.844,10.333,10.638,Healthy,0
COMP_00058,Lot_A,9.103,9.264,9.803,10.164,Healthy,0
COMP_00059,Lot_A,7.988,8.225,8.859,9.223,Healthy,0
COMP_00060,Lot_A,7.938,8.091,8.602,8.972,Healthy,0
COMP_00061,Lot_B,13.765,13.898,14.207,14.672,Healthy,0
COMP_00062,Lot_A,8.765,9.058,9.392,9.644,Healthy,0
COMP_00063,Lot_C,10.892,11.225,11.545,11.767,Healthy,0
COMP_00064,Lot_B,12.881,13.067,13.418,13.643,Healthy,0
COMP_00065,Lot_A,8.125,9.094,16.951,35.697,Latent Defect,1
COMP_00066,Lot_B,12.939,13.228,13.48,13.831,Healthy,0
COMP_00067,Lot_A,10.161,10.381,10.93,11.361,Healthy,0
COMP_00068,Lot_C,10.779,11.042,11.56,11.98,Healthy,0
COMP_00069,Lot_A,9.008,9.169,9.414,9.609,Healthy,0
COMP_00070,Lot_C,9.757,10.054,10.372,10.814,Healthy,0
COMP_00071,Lot_C,9.548,9.759,10.108,10.27,Healthy,0
COMP_00072,Lot_A,8.683,9.07,9.513,9.678,Healthy,0
COMP_00073,Lot_A,9.124,9.244,9.549,9.875,Healthy,0
COMP_00074,Lot_C,10.111,10.28,10.697,11.118,Healthy,0
COMP_00075,Lot_C,10.767,12.217,24.581,44.606,Latent Defect,1
COMP_00076,Lot_C,9.805,10.124,10.63,11.03,Healthy,0
COMP_00077,Lot_C,10.159,10.337,10.663,11.003,Healthy,0
COMP_00078,Lot_A,8.619,8.815,9.316,9.874,Healthy,0
COMP_00079,Lot_B,11.081,11.378,11.82,12.215,Healthy,0
COMP_00080,Lot_A,8.155,8.394,8.859,9.179,Healthy,0
COMP_00081,Lot_C,8.632,22.93,50.848,116.073,Gross Failure,1
COMP_00082,Lot_B,10.948,11.28,11.782,12.175,Healthy,0
COMP_00083,Lot_A,6.769,6.992,7.581,7.879,Healthy,0
COMP_00084,Lot_A,7.638,7.837,8.278,8.543,Healthy,0
COMP_00085,Lot_A,9.487,9.732,10.115,10.335,Healthy,0
COMP_00086,Lot_A,8.888,9.174,9.529,9.656,Healthy,0
COMP_00087,Lot_C,10.37,10.605,11.095,11.641,Healthy,0
COMP_00088,Lot_B,12.97,13.179,13.492,13.81,Healthy,0
COMP_00089,Lot_C,10.145,10.399,11.056,11.456,Healthy,0
COMP_00090,Lot_B,12.852,13.045,13.527,13.786,Healthy,0
COMP_00091,Lot_A,8.644,8.933,9.357,9.644,Healthy,0
COMP_00092,Lot_C,8.033,8.375,8.873,9.266,Healthy,0
COMP_00093,Lot_C,8.595,8.955,9.349,9.67,Healthy,0
COMP_00094,Lot_B,11.824,11.931,12.52,12.998,Healthy,0
COMP_00095,Lot_C,9.851,10.047,10.451,10.766,Healthy,0
COMP_00096,Lot_B,11.68,11.907,12.375,12.827,Healthy,0
COMP_00097,Lot_B,13.016,13.14,13.632,13.956,Healthy,0
COMP_00098,Lot_B,14.507,14.872,15.498,15.791,Healthy,0
COMP_00099,Lot_A,10.092,10.37,11.015,11.315,Healthy,0
COMP_00100,Lot_A,8.261,8.533,9.001,9.477,Healthy,0
COMP_00101,Lot_A,8.314,8.657,9.195,9.524,Healthy,0
COMP_00102,Lot_B,13.72,13.932,14.664,14.748,Healthy,0
COMP_00103,Lot_A,9.038,9.147,9.57,9.912,Healthy,0
COMP_00104,Lot_B,14.658,14.853,15.46,15.692,Healthy,0
COMP_00105,Lot_C,11.212,11.424,11.883,12.199,Healthy,0
COMP_00106,Lot_A,9.526,9.863,10.366,10.601,Healthy,0
COMP_00107,Lot_B,12.213,13.208,19.336,40.489,Latent Defect,1
COMP_00108,Lot_C,9.705,9.928,10.557,10.86,Healthy,0
COMP_00109,Lot_A,7.828,8.06,8.374,8.758,Healthy,0
