Lot_ID,Part_ID,Value_0h_uA,Value_24h_uA,Value_96h_uA,Value_168h_uA,Lot_Mean_uA,Lot_Sigma_uA,Dynamic_Z_0h,Dynamic_Z_24h,Dynamic_Z_96h,Dynamic_Z_168h,Slope_0_24_uA_per_h,Slope_24_168_uA_per_h,Static_Limit_Fail,Latent_Defect_Label
LOT-021,LOT021-P001,10.042,10.2182,10.4546,10.5841,9.85,0.55,0.3491,0.6695,1.0993,1.3347,0.007342,0.002541,0,0
LOT-021,LOT021-P002,10.6473,10.8452,11.0188,11.0911,9.85,0.55,1.4496,1.8095,2.1251,2.2565,0.008246,0.001708,0,0
LOT-021,LOT021-P003,10.9534,11.0266,11.3796,11.5004,9.85,0.55,2.0062,2.1393,2.7811,3.0007,0.00305,0.00329,0,0
LOT-021,LOT021-P004,10.2152,10.3205,10.718,10.8925,9.85,0.55,0.664,0.8555,1.5782,1.8955,0.004387,0.003972,0,0
LOT-021,LOT021-P005,9.9712,10.2705,10.3765,10.5583,9.85,0.55,0.2204,0.7645,0.9573,1.2878,0.012471,0.001999,0,0
LOT-021,LOT021-P006,9.6513,9.995,10.2159,10.302,9.85,0.55,-0.3613,0.2636,0.6653,0.8218,0.014321,0.002132,0,0
LOT-021,LOT021-P007,9.4206,9.5599,9.8489,9.9637,9.85,0.55,-0.7807,-0.5275,-0.002,0.2067,0.005804,0.002804,0,0
LOT-021,LOT021-P008,9.8468,10.0226,10.2743,10.4397,9.85,0.55,-0.0058,0.3138,0.7715,1.0722,0.007325,0.002897,0,0
LOT-021,LOT021-P009,8.6338,8.7756,9.1166,9.4108,9.85,0.55,-2.2113,-1.9535,-1.3335,-0.7985,0.005908,0.004411,0,0
LOT-021,LOT021-P010,9.3787,9.5699,9.83,10.017,9.85,0.55,-0.8569,-0.5093,-0.0364,0.3036,0.007967,0.003105,0,0
LOT-021,LOT021-P011,10.0946,10.1502,10.3972,10.4123,9.85,0.55,0.4447,0.5458,0.9949,1.0224,0.002317,0.00182,0,0
LOT-021,LOT021-P012,10.3532,10.4712,10.7562,11.0134,9.85,0.55,0.9149,1.1295,1.6476,2.1153,0.004917,0.003765,0,0
LOT-021,LOT021-P013,10.0906,10.3094,10.5306,10.7668,9.85,0.55,0.4375,0.8353,1.2375,1.6669,0.009117,0.003176,0,0
LOT-021,LOT021-P014,10.2071,10.3547,10.6307,10.8383,9.85,0.55,0.6493,0.9176,1.4195,1.7969,0.00615,0.003358,0,0
LOT-021,LOT021-P015,9.9269,10.0701,10.38,10.6002,9.85,0.55,0.1398,0.4002,0.9636,1.364,0.005967,0.003681,0,0
LOT-021,LOT021-P016,9.7462,9.9511,10.1822,10.44,9.85,0.55,-0.1887,0.1838,0.604,1.0727,0.008538,0.003395,0,0
LOT-021,LOT021-P017,10.5879,10.8507,11.1712,11.5066,9.85,0.55,1.3416,1.8195,2.4022,3.012,0.01095,0.004555,0,0
LOT-021,LOT021-P018,9.9825,10.1944,10.5712,10.7214,9.85,0.55,0.2409,0.6262,1.3113,1.5844,0.008829,0.00366,0,0
LOT-021,LOT021-P019,9.7754,9.9195,10.2465,10.533,9.85,0.55,-0.1356,0.1264,0.7209,1.2418,0.006004,0.00426,0,0
LOT-021,LOT021-P020,9.4255,9.533,9.7986,9.9968,9.85,0.55,-0.7718,-0.5764,-0.0935,0.2669,0.004479,0.003221,0,0
LOT-021,LOT021-P021,10.6866,10.8614,11.1312,11.4428,9.85,0.55,1.5211,1.8389,2.3295,2.896,0.007283,0.004038,0,0
LOT-021,LOT021-P022,9.1988,9.4402,9.6341,9.7658,9.85,0.55,-1.184,-0.7451,-0.3925,-0.1531,0.010058,0.002261,0,0
LOT-021,LOT021-P023,9.2994,9.4337,9.6993,9.8736,9.85,0.55,-1.0011,-0.7569,-0.274,0.0429,0.005596,0.003055,0,0
LOT-021,LOT021-P024,10.4992,10.7008,11.0439,11.3552,9.85,0.55,1.1804,1.5469,2.1707,2.7367,0.0084,0.004544,0,0
LOT-021,LOT021-P025,10.0462,10.1892,10.4928,10.7582,9.85,0.55,0.3567,0.6167,1.1687,1.6513,0.005958,0.003951,0,0
LOT-021,LOT021-P026,9.7629,9.9347,10.2103,10.404,9.85,0.55,-0.1584,0.154,0.6551,1.0073,0.007158,0.003259,0,0
LOT-021,LOT021-P027,10.3165,10.4717,10.5491,10.7957,9.85,0.55,0.8482,1.1304,1.2711,1.7195,0.006467,0.00225,0,0
LOT-021,LOT021-P028,10.221,10.3794,10.6501,10.91,9.85,0.55,0.6745,0.9625,1.4547,1.9273,0.0066,0.003685,0,0
LOT-021,LOT021-P029,9.6689,9.8271,10.0226,10.198,9.85,0.55,-0.3293,-0.0416,0.3138,0.6327,0.006592,0.002576,0,0
LOT-021,LOT021-P030,9.6408,9.8485,10.0867,10.3355,9.85,0.55,-0.3804,-0.0027,0.4304,0.8827,0.008654,0.003382,0,0
LOT-021,LOT021-P031,9.5217,10.4954,14.6608,22.8704,9.85,0.55,-0.5969,1.1735,8.7469,23.6735,0.040571,0.085938,0,1
LOT-021,LOT021-P032,9.5048,10.6237,14.2204,22.7719,9.85,0.55,-0.6276,1.4067,7.9462,23.4944,0.046621,0.084362,0,1
LOT-021,LOT021-P033,10.1482,10.2944,10.5564,10.8365,9.85,0.55,0.5422,0.808,1.2844,1.7936,0.006092,0.003765,0,0
LOT-021,LOT021-P034,9.0181,9.2079,9.4392,9.5706,9.85,0.55,-1.5125,-1.1675,-0.7469,-0.508,0.007908,0.002519,0,0
LOT-021,LOT021-P035,9.4223,9.596,9.7651,9.9123,9.85,0.55,-0.7776,-0.4618,-0.1544,0.1133,0.007238,0.002197,0,0
LOT-021,LOT021-P036,10.2954,10.5455,10.7344,10.8945,9.85,0.55,0.8098,1.2645,1.608,1.8991,0.010421,0.002424,0,0
LOT-021,LOT021-P037,10.089,10.3684,10.7474,10.9794,9.85,0.55,0.4345,0.9425,1.6316,2.0535,0.011642,0.004243,0,0
LOT-021,LOT021-P038,10.0939,11.4573,16.3095,20.8666,9.85,0.55,0.4435,2.9224,11.7445,20.0302,0.056808,0.065342,0,1
