Lot_ID,Part_ID,Value_0h_uA,Value_24h_uA,Value_96h_uA,Value_168h_uA,Lot_Mean_uA,Lot_Sigma_uA,Dynamic_Z_0h,Dynamic_Z_24h,Dynamic_Z_96h,Dynamic_Z_168h,Slope_0_24_uA_per_h,Slope_24_168_uA_per_h,Static_Limit_Fail,Latent_Defect_Label
LOT-001,L001-P001,9.472,9.6775,9.9554,10.2565,10.1676,0.6256,-1.1119,-0.7834,-0.3392,0.1421,0.008563,0.004021,0,0
LOT-001,L001-P002,9.8739,10.0973,10.301,10.4544,10.1676,0.6256,-0.4695,-0.1124,0.2132,0.4584,0.009308,0.00248,0,0
LOT-001,L001-P003,8.5332,8.7892,9.1209,9.1685,10.1676,0.6256,-2.6125,-2.2033,-1.6731,-1.597,0.010667,0.002634,0,0
LOT-001,L001-P004,9.5995,9.6666,10.0631,10.2405,10.1676,0.6256,-0.9081,-0.8008,-0.167,0.1165,0.002796,0.003985,0,0
LOT-001,L001-P005,11.7688,11.9804,12.2426,12.391,10.1676,0.6256,2.5595,2.8977,3.3168,3.554,0.008817,0.002851,0,0
LOT-001,L001-P006,9.7918,9.9485,10.1383,10.5236,10.1676,0.6256,-0.6007,-0.3502,-0.0468,0.5691,0.006529,0.003994,0,0
LOT-001,L001-P007,9.8337,10.0133,10.2404,10.4793,10.1676,0.6256,-0.5337,-0.2466,0.1164,0.4982,0.007483,0.003236,0,0
LOT-001,L001-P008,10.2983,10.3215,10.4387,10.6584,10.1676,0.6256,0.2089,0.246,0.4333,0.7845,0.000967,0.00234,0,0
LOT-001,L001-P009,10.3044,10.5549,10.704,10.7457,10.1676,0.6256,0.2187,0.6191,0.8574,0.9241,0.010438,0.001325,0,0
LOT-001,L001-P010,9.8794,10.144,10.4284,10.4521,10.1676,0.6256,-0.4607,-0.0377,0.4169,0.4548,0.011025,0.00214,0,0
LOT-001,L001-P011,10.5318,10.7828,11.1222,11.3977,10.1676,0.6256,0.5822,0.9834,1.5259,1.9663,0.010458,0.00427,0,0
LOT-001,L001-P012,9.6426,11.3057,15.0523,19.2104,10.1676,0.6256,-0.8392,1.8192,7.808,14.4546,0.069296,0.054894,0,1
LOT-001,L001-P013,9.9742,11.0851,14.2355,19.7891,10.1676,0.6256,-0.3091,1.4666,6.5024,15.3796,0.046288,0.060444,0,1
LOT-001,L001-P014,10.1226,10.3828,10.669,10.8045,10.1676,0.6256,-0.0719,0.344,0.8015,1.0181,0.010842,0.002928,0,0
LOT-001,L001-P015,11.1031,11.3102,11.8974,12.0054,10.1676,0.6256,1.4954,1.8264,2.765,2.9377,0.008629,0.004828,0,0
LOT-001,L001-P016,10.2221,10.3781,10.6373,10.6386,10.1676,0.6256,0.0871,0.3365,0.7508,0.7529,0.0065,0.001809,0,0
LOT-001,L001-P017,9.8333,9.8937,10.0647,10.3391,10.1676,0.6256,-0.5344,-0.4378,-0.1645,0.2741,0.002517,0.003093,0,0
LOT-001,L001-P018,9.6618,11.3915,15.5077,20.7247,10.1676,0.6256,-0.8085,1.9564,8.536,16.8752,0.072071,0.064814,0,1
LOT-001,L001-P019,9.8537,9.9913,10.2926,10.5024,10.1676,0.6256,-0.5018,-0.2818,0.1998,0.5352,0.005733,0.003549,0,0
LOT-001,L001-P020,10.7736,10.9288,11.2462,11.4205,10.1676,0.6256,0.9687,1.2168,1.7241,2.0027,0.006467,0.003415,0,0
LOT-001,L001-P021,9.9375,10.1412,10.4173,10.6178,10.1676,0.6256,-0.3678,-0.0422,0.3991,0.7196,0.008487,0.00331,0,0
LOT-001,L001-P022,10.0208,10.1692,10.3903,10.6356,10.1676,0.6256,-0.2347,0.0026,0.356,0.7481,0.006183,0.003239,0,0
LOT-001,L001-P023,10.0637,10.3946,10.6621,10.8878,10.1676,0.6256,-0.1661,0.3629,0.7904,1.1512,0.013787,0.003425,0,0
LOT-001,L001-P024,10.121,10.2995,10.3822,10.4749,10.1676,0.6256,-0.0745,0.2108,0.343,0.4912,0.007437,0.001218,0,0
LOT-001,L001-P025,9.5466,10.9562,14.4616,17.6417,10.1676,0.6256,-0.9926,1.2605,6.8638,11.9471,0.058733,0.046427,0,1
LOT-001,L001-P026,10.0473,10.2514,10.4979,10.581,10.1676,0.6256,-0.1923,0.134,0.528,0.6608,0.008504,0.002289,0,0
LOT-001,L001-P027,10.6476,10.7356,10.9081,11.1854,10.1676,0.6256,0.7673,0.9079,1.1837,1.6269,0.003667,0.003124,0,0
LOT-001,L001-P028,11.0452,11.113,11.4217,11.8408,10.1676,0.6256,1.4028,1.5112,2.0046,2.6746,0.002825,0.005054,0,0
LOT-001,L001-P029,9.8589,10.8454,13.427,18.4951,10.1676,0.6256,-0.4934,1.0834,5.21,13.3112,0.041104,0.053123,0,1
LOT-001,L001-P030,10.7451,10.9259,11.1393,11.4042,10.1676,0.6256,0.9231,1.2121,1.5532,1.9767,0.007533,0.003322,0,0
LOT-001,L001-P031,9.4026,9.509,9.914,10.0357,10.1676,0.6256,-1.2228,-1.0527,-0.4054,-0.2108,0.004433,0.003658,0,0
LOT-001,L001-P032,9.9661,10.1176,10.4232,10.7276,10.1676,0.6256,-0.3221,-0.0799,0.4086,0.8951,0.006312,0.004236,0,0
LOT-001,L001-P033,10.4969,10.5483,10.8168,11.0428,10.1676,0.6256,0.5264,0.6085,1.0377,1.399,0.002142,0.003434,0,0
LOT-001,L001-P034,10.6567,10.9407,11.1039,11.3657,10.1676,0.6256,0.7818,1.2358,1.4966,1.9151,0.011833,0.002951,0,0
LOT-001,L001-P035,10.929,11.8906,16.1877,21.3102,10.1676,0.6256,1.2171,2.7542,9.6229,17.8111,0.040067,0.065414,0,1
LOT-001,L001-P036,36.725,51.36,61.436,77.1345,10.1676,0.6256,42.4511,65.8446,81.9508,107.0443,0.609792,0.17899,1,1
LOT-001,L001-P037,10.8241,11.1101,11.4335,11.5381,10.1676,0.6256,1.0494,1.5066,2.0235,2.1907,0.011917,0.002972,0,0
LOT-001,L001-P038,10.8924,11.0068,11.3531,11.5944,10.1676,0.6256,1.1586,1.3414,1.895,2.2807,0.004767,0.004081,0,0
LOT-001,L001-P039,9.6248,9.8165,9.9295,10.0523,10.1676,0.6256,-0.8676,-0.5612,-0.3806,-0.1843,0.007987,0.001638,0,0
LOT-001,L001-P040,10.1194,10.3267,10.6043,10.887,10.1676,0.6256,-0.077,0.2543,0.698,1.1499,0.008638,0.003891,0,0
