Lot_ID,Part_ID,Value_0h_uA,Value_24h_uA,Value_96h_uA,Value_168h_uA,Lot_Mean_uA,Lot_Sigma_uA,Dynamic_Z_0h,Dynamic_Z_24h,Dynamic_Z_96h,Dynamic_Z_168h,Slope_0_24_uA_per_h,Slope_24_168_uA_per_h,Static_Limit_Fail,Latent_Defect_Label,Dynamic_Anomaly,Anomaly_Score,Predicted_Value_168h_uA,Predicted_Slope_0_168_uA_per_h,Drift_Flag,Final_Screening_Reject,Explainability
LOT-021,LOT021-P001,10.042,10.2182,10.4546,10.5841,10.239516000000002,3.666395710146107,-0.053871980990325495,-0.005813884175408029,0.0586636078055596,0.09398439973252799,0.007342,0.002541,0,0,0,-0.1618,10.6464,0.003598,0,0,Within synthetic screening pattern
LOT-021,LOT021-P002,10.6473,10.8452,11.0188,11.0911,10.239516000000002,3.666395710146107,0.11122203718260062,0.1651987531852806,0.21254770668737882,0.23226734573231952,0.008246,0.001708,0,0,0,-0.1223,11.202,0.003302,0,0,Within synthetic screening pattern
LOT-021,LOT021-P003,10.9534,11.0266,11.3796,11.5004,10.239516000000002,3.666395710146107,0.1947100248956897,0.21467513662583704,0.31095497871247657,0.3439028680157801,0.00305,0.00329,0,0,0,-0.0742,11.4331,0.002855,0,0,Within synthetic screening pattern
LOT-021,LOT021-P004,10.2152,10.3205,10.718,10.8925,10.239516000000002,3.666395710146107,-0.006632126459430493,0.022088177709756823,0.1305052803427294,0.17809970653003426,0.004387,0.003972,0,0,0,-0.1466,10.8259,0.003635,0,0,Within synthetic screening pattern
LOT-021,LOT021-P005,9.9712,10.2705,10.3765,10.5583,10.239516000000002,3.666395710146107,-0.07318249889325497,0.008450806309383234,0.037362033678175824,0.086947516089935,0.012471,0.001999,0,0,0,-0.1459,10.6109,0.003808,0,0,Within synthetic screening pattern
LOT-021,LOT021-P006,9.6513,9.995,10.2159,10.302,10.239516000000002,3.666395710146107,-0.1604344011128467,-0.06669111010667711,-0.006441203259825219,0.01704235029161862,0.014321,0.002132,0,0,0,-0.1364,10.3429,0.004117,0,0,Within synthetic screening pattern
LOT-021,LOT021-P007,9.4206,9.5599,9.8489,9.9637,10.239516000000002,3.666395710146107,-0.22335723275417194,-0.1853635160327302,-0.10653950933856926,-0.07522810460331113,0.005804,0.002804,0,0,0,-0.1467,9.9783,0.00332,0,0,Within synthetic screening pattern
LOT-021,LOT021-P008,9.8468,10.0226,10.2743,10.4397,10.239516000000002,3.666395710146107,-0.10711227893738508,-0.05916328109367034,0.009487246535811657,0.05459967112824845,0.007325,0.002897,0,0,0,-0.1654,10.4319,0.003483,0,0,Within synthetic screening pattern
LOT-021,LOT021-P009,8.6338,8.7756,9.1166,9.4108,10.239516000000002,3.666395710146107,-0.4379549091104552,-0.3992793238189949,-0.30627245086844523,-0.2260301575486453,0.005908,0.004411,0,0,0,-0.0237,9.3008,0.00397,0,0,Within synthetic screening pattern
LOT-021,LOT021-P010,9.3787,9.5699,9.83,10.017,10.239516000000002,3.666395710146107,-0.23478534998768527,-0.1826360417526555,-0.11169443572791068,-0.06069066669051253,0.007967,0.003105,0,0,0,-0.1461,10.0155,0.00379,0,0,Within synthetic screening pattern
LOT-021,LOT021-P011,10.0946,10.1502,10.3972,10.4123,10.239516000000002,3.666395710146107,-0.03952546627713218,-0.0243607092799164,0.04300790543793054,0.04712639160084354,0.002317,0.00182,0,0,0,-0.133,10.6348,0.003215,0,0,Within synthetic screening pattern
LOT-021,LOT021-P012,10.3532,10.4712,10.7562,11.0134,10.239516000000002,3.666395710146107,0.03100701860560139,0.06319121511048384,0.14092423209261498,0.2110748705761385,0.004917,0.003765,0,0,0,-0.1464,10.9553,0.003584,0,0,Within synthetic screening pattern
LOT-021,LOT021-P013,10.0906,10.3094,10.5306,10.7668,10.239516000000002,3.666395710146107,-0.04061645598916197,0.019060681258874095,0.07939241233412804,0.14381535482949429,0.009117,0.003176,0,0,0,-0.1577,10.7312,0.003813,0,0,Within synthetic screening pattern
LOT-021,LOT021-P014,10.2071,10.3547,10.6307,10.8383,10.239516000000002,3.666395710146107,-0.008841380626290758,0.03141613974761262,0.10669442987767638,0.16331679593202905,0.00615,0.003358,0,0,0,-0.1563,10.8262,0.003685,0,0,Within synthetic screening pattern
LOT-021,LOT021-P015,9.9269,10.0701,10.38,10.6002,10.239516000000002,3.666395710146107,-0.08526520995398616,-0.04620777826331531,0.03831664967620219,0.09837563332344833,0.005967,0.003681,0,0,0,-0.1628,10.5362,0.003627,0,0,Within synthetic screening pattern
LOT-021,LOT021-P016,9.7462,9.9511,10.1822,10.44,10.239516000000002,3.666395710146107,-0.13455067019493733,-0.07866472219620509,-0.01563279158367711,0.054681495356650504,0.008538,0.003395,0,0,0,-0.1608,10.4061,0.003928,0,0,Within synthetic screening pattern
LOT-021,LOT021-P017,10.5879,10.8507,11.1712,11.5066,10.239516000000002,3.666395710146107,0.09502083995895642,0.16669886403932163,0.25411441471571844,0.3455939020694264,0.01095,0.004555,0,0,0,-0.1165,11.4125,0.004908,0,0,Within synthetic screening pattern
LOT-021,LOT021-P018,9.9825,10.1944,10.5712,10.7214,10.239516000000002,3.666395710146107,-0.07010045295677038,-0.012305272961985886,0.09046595791123149,0.1314326215979546,0.008829,0.00366,0,0,0,-0.1605,10.6853,0.004183,0,0,Within synthetic screening pattern
LOT-021,LOT021-P019,9.7754,9.9195,10.2465,10.533,10.239516000000002,3.666395710146107,-0.12658644529711913,-0.08728354092124165,0.0019048680372035244,0.08004700616134591,0.006004,0.00426,0,0,0,-0.1617,10.4297,0.003895,0,0,Within synthetic screening pattern
LOT-021,LOT021-P020,9.4255,9.533,9.7986,9.9968,10.239516000000002,3.666395710146107,-0.22202077035693552,-0.1927004218461317,-0.12025870496734538,-0.06620016473626333,0.004479,0.003221,0,0,0,-0.1375,9.9852,0.003332,0,0,Within synthetic screening pattern
LOT-021,LOT021-P021,10.6866,10.8614,11.1312,11.4428,10.239516000000002,3.666395710146107,0.12194101110329471,0.1696172615190016,0.24320451759541908,0.3281926161625492,0.007283,0.004038,0,0,0,-0.1187,11.4246,0.004393,0,0,Within synthetic screening pattern
LOT-021,LOT021-P022,9.1988,9.4402,9.6341,9.7658,10.239516000000002,3.666395710146107,-0.2838526122862305,-0.21801138316522525,-0.16512565687457553,-0.12920482060599062,0.010058,0.002261,0,0,0,-0.1282,9.7651,0.003371,0,0,Within synthetic screening pattern
LOT-021,LOT021-P023,9.2994,9.4337,9.6993,9.8736,10.239516000000002,3.666395710146107,-0.2564142210286782,-0.21978424144727407,-0.14734252456848826,-0.09980264786678475,0.005596,0.003055,0,0,0,-0.1368,9.9039,0.003598,0,0,Within synthetic screening pattern
LOT-021,LOT021-P024,10.4992,10.7008,11.0439,11.3552,10.239516000000002,3.666395710146107,0.07082814309469333,0.12581402458100058,0.21939366713036657,0.3042999414690941,0.0084,0.004544,0,0,0,-0.1356,11.1149,0.003665,0,0,Within synthetic screening pattern
LOT-021,LOT021-P025,10.0462,10.1892,10.4928,10.7582,10.239516000000002,3.666395710146107,-0.052726441792693854,-0.013723559587624857,0.06908255955544568,0.14146972694863014,0.005958,0.003951,0,0,0,-0.1589,10.7104,0.003954,0,0,Within synthetic screening pattern
LOT-021,LOT021-P026,9.7629,9.9347,10.2103,10.404,10.239516000000002,3.666395710146107,-0.1299957881472124,-0.08313778001552795,-0.007968588856666925,0.044862587948381424,0.007158,0.003259,0,0,0,-0.1622,10.4339,0.003994,0,0,Within synthetic screening pattern
LOT-021,LOT021-P027,10.3165,10.4717,10.5491,10.7957,10.239516000000002,3.666395710146107,0.020997187997727033,0.06332758882448775,0.08443823975226625,0.15169775549891043,0.006467,0.00225,0,0,0,-0.151,10.8688,0.003288,0,0,Within synthetic screening pattern
LOT-021,LOT021-P028,10.221,10.3794,10.6501,10.91,10.239516000000002,3.666395710146107,-0.005050191376986934,0.0381530012193976,0.11198572998102171,0.18287278652016514,0.0066,0.003685,0,0,0,-0.1554,10.8305,0.003628,0,0,Within synthetic screening pattern
LOT-021,LOT021-P029,9.6689,9.8271,10.0226,10.198,10.239516000000002,3.666395710146107,-0.15563404637991515,-0.11248540326913246,-0.05916328109367034,-0.011323382221158832,0.006592,0.002576,0,0,0,-0.1581,10.22,0.00328,0,0,Within synthetic screening pattern
