component_id,lot_id,value_0h,value_24h,value_96h,value_168h,defect_type,is_defect,flag_static_limit,delta_24h,delta_96h,delta_168h,delta_late,drift_acceleration,z_value_168h,z_delta_24h,z_delta_168h,z_delta_late,max_lot_zscore,flag_dynamic_pat,iso_forest_score,flag_isolation_forest,flag_dynamic_ensemble,pred_value_168h,pred_drift_delta_168h,pred_safety_slope,flag_early_24h_rejection,flag_master_screened
COMP_00001,Lot_B,12.222,12.482,13.071,13.34,Healthy,0,0,0.2599999999999998,0.8490000000000002,1.1180000000000003,0.26900000000000013,-0.3200000000000003,-0.5977194535199103,0.039999999999995595,0.35613112100364114,-0.8264886771051205,0.35613112100364114,0,0.14909601077900408,0,0,13.237,1.015,0.00604,0,0
COMP_00002,Lot_C,10.332,10.607,11.045,11.345,Healthy,0,0,0.2749999999999986,0.7129999999999992,1.013,0.3000000000000007,-0.1379999999999999,0.17501960526631022,0.1399999999999757,-0.3014769303721116,-0.5034931021444935,0.17501960526631022,0,0.18857400218224302,0,0,11.416,1.084,0.00645,0,0
COMP_00003,Lot_C,11.093,11.296,11.528,11.942,Healthy,0,0,0.2029999999999994,0.4350000000000005,0.8490000000000002,0.4139999999999997,0.1819999999999986,0.7860529640030729,-0.5800000000000161,-1.139480601236973,0.5794920609587665,0.7860529640030729,0,0.14563902056444872,0,0,12.155,1.062,0.00632,0,0
COMP_00004,Lot_B,11.679,11.984,12.594,13.007,Healthy,0,0,0.3049999999999997,0.9149999999999991,1.3279999999999994,0.41300000000000026,-0.19699999999999918,-0.8585852176380365,0.4899999999999949,1.4892755969243,0.5414925815516081,1.4892755969243,0,0.14205674315744599,0,0,12.878,1.199,0.00714,0,0
COMP_00005,Lot_A,9.357,9.769,10.335,10.718,Healthy,0,0,0.4120000000000008,0.9780000000000015,1.3610000000000007,0.3829999999999991,-0.1830000000000016,1.290125431738829,1.575000000000002,1.6930537282408498,0.2071965078130659,1.6930537282408498,0,0.13752387238516622,0,0,10.459,1.102,0.00656,0,0
COMP_00006,Lot_A,9.807,10.198,10.86,11.161,Healthy,0,0,0.391,1.052999999999999,1.3539999999999992,0.30100000000000016,-0.3609999999999989,1.8115903644580815,1.364999999999994,1.6548234827644357,-0.5157870513644497,1.8115903644580815,0,0.11494686318202296,0,0,10.944,1.137,0.00677,0,0
COMP_00007,Lot_A,7.417,8.506,19.062,37.46,Latent Defect,1,0,1.0890000000000004,11.645000000000001,30.043,18.398,7.841999999999999,32.76871511746854,8.344999999999997,158.3387538359956,159.04315771004607,159.04315771004607,1,-0.042016803314887,1,1,36.647,29.23,0.17399,1,1
COMP_00008,Lot_C,9.814,10.109,10.383,10.747,Healthy,0,0,0.29499999999999993,0.5689999999999991,0.9329999999999998,0.36400000000000077,0.09000000000000163,-0.4370372599339994,0.3399999999999892,-0.7102592088427767,0.10449856836962332,0.3399999999999892,0,0.1825633060638081,0,0,10.91,1.096,0.00652,0,0
COMP_00009,Lot_B,14.23,14.524,15.057,15.567,Healthy,0,0,0.2939999999999987,0.827,1.3369999999999997,0.5099999999999998,-0.023000000000001464,1.146869305312122,0.3799999999999848,1.5378389316066159,1.4629799571745379,1.5378389316066159,0,0.09953453457548461,0,0,15.176,0.946,0.00563,0,0
COMP_00010,Lot_C,9.94,10.138,10.731,11.198,Healthy,0,0,0.1980000000000004,0.7910000000000004,1.258000000000001,0.4670000000000005,-0.12599999999999945,0.024564155125096937,-0.6300000000000061,0.9504187974443045,1.082985163103277,1.082985163103277,0,0.17791208851245432,0,0,10.936,0.996,0.00593,0,0
COMP_00011,Lot_A,8.947,10.115,19.617,34.425,Latent Defect,1,0,1.168000000000001,10.670000000000002,25.477999999999998,14.807999999999996,5.305999999999996,29.196150623556726,9.135000000000003,133.40717232173927,127.39058481434711,133.40717232173927,1,-0.023196389225393355,1,1,35.561,26.614,0.15842,1,1
COMP_00012,Lot_C,11.002,11.338,11.63,12.067,Healthy,0,0,0.3359999999999985,0.6280000000000001,1.0649999999999995,0.4369999999999994,0.1449999999999978,0.9139912719462813,0.7499999999999751,-0.0357684493661815,0.7979890675497741,0.9139912719462813,0,0.15822812923364687,0,0,12.155,1.153,0.00686,0,0
COMP_00013,Lot_C,10.364,10.532,10.837,11.225,Healthy,0,0,0.16799999999999926,0.472999999999999,0.8609999999999989,0.3879999999999999,0.08300000000000018,0.05219882964082918,-0.9300000000000175,-1.07816325946638,0.33249544481240867,0.33249544481240867,0,0.16866007216690904,0,0,11.332,0.968,0.00576,0,0
COMP_00014,Lot_A,8.182,8.577,9.142,9.539,Healthy,0,0,0.3949999999999996,0.9599999999999991,1.3569999999999993,0.39700000000000024,-0.16799999999999926,-0.09770110477584219,1.4049999999999896,1.6712078736828961,0.3306327252336288,1.6712078736828961,0,0.13188236290640648,0,0,9.404,1.222,0.00727,0,0
COMP_00015,Lot_A,8.918,9.275,9.827,10.226,Healthy,0,0,0.3570000000000011,0.9090000000000007,1.3080000000000016,0.3990000000000009,-0.1529999999999987,0.7109815335495018,1.0250000000000048,1.403596155348065,0.348266470579428,1.403596155348065,0,0.15723180542176907,0,0,10.054,1.136,0.00676,0,0
COMP_00016,Lot_A,7.716,8.211,8.528,8.847,Healthy,0,0,0.4950000000000001,0.8120000000000003,1.1309999999999993,0.31899999999999906,0.0019999999999988916,-0.9122693518226213,2.404999999999995,0.4369170911589238,-0.3570833432523197,2.404999999999995,0,0.1309407374576083,0,0,16.332,8.616,0.05129,1,1
COMP_00017,Lot_A,7.176,7.469,7.937,8.364,Healthy,0,0,0.29300000000000015,0.7610000000000001,1.1880000000000006,0.4270000000000005,-0.04099999999999948,-1.4808191543133629,0.38499999999999535,0.7482205186096671,0.5951389054205303,0.7482205186096671,0,0.10471088688904029,0,0,8.317,1.141,0.00679,0,0
COMP_00018,Lot_B,11.087,11.426,11.779,12.114,Healthy,0,0,0.3390000000000004,0.6920000000000002,1.027000000000001,0.33500000000000085,-0.017999999999998906,-1.5581441586515088,0.8300000000000018,-0.13489815189530946,-0.19949726688744696,0.8300000000000018,0,0.1754614537943644,0,0,12.29,1.203,0.00716,0,0
COMP_00019,Lot_B,14.025,14.296,14.785,15.215,Healthy,0,0,0.270999999999999,0.7599999999999998,1.1899999999999995,0.4299999999999997,-0.05900000000000105,0.871119308406475,0.14999999999998792,0.74463779846215,0.702990369031911,0.871119308406475,0,0.14435298031892407,0,0,14.98,0.955,0.00568,0,0
COMP_00020,Lot_A,8.843,22.82,56.987,118.682,Gross Failure,1,1,13.977,48.144000000000005,109.839,61.695,27.528,128.3768974319678,137.225,594.1417064124686,540.7872938284521,594.1417064124686,1,-0.19467513453162477,1,1,118.849,110.006,0.6548,1,1
COMP_00021,Lot_B,12.015,12.345,12.829,13.187,Healthy,0,0,0.33000000000000007,0.8140000000000001,1.1719999999999988,0.35799999999999876,-0.12600000000000122,-0.7175766964931037,0.7399999999999984,0.647511129097518,0.018999739703538254,0.7399999999999984,0,0.1632137631402122,0,0,13.127,1.112,0.00662,0,0
COMP_00022,Lot_A,9.454,9.694,10.122,10.424,Healthy,0,0,0.2400000000000002,0.6679999999999993,0.9699999999999989,0.3019999999999996,-0.12599999999999945,0.9440516389183762,-0.14500000000000401,-0.4423785547984219,-0.5069701786915579,0.9440516389183762,0,0.1979738426032876,0,0,10.459,1.005,0.00598,0,0
COMP_00023,Lot_A,8.774,9.049,9.419,9.751,Healthy,0,0,0.27500000000000036,0.6450000000000014,0.9770000000000003,0.33199999999999896,-0.03800000000000203,0.15184870501305509,0.2049999999999974,-0.4041483093220078,-0.24246399850466424,0.2049999999999974,0,0.188938595993406,0,0,9.797,1.023,0.00609,0,0
COMP_00024,Lot_B,12.274,12.468,12.71,13.037,Healthy,0,0,0.19400000000000084,0.4360000000000017,0.7630000000000017,0.32699999999999996,0.08499999999999908,-0.8350837974472134,-0.6199999999999939,-1.5594226359098546,-0.2754962257017181,-0.2754962257017181,0,0.1461850670785489,0,0,13.279,1.005,0.00598,0,0
COMP_00025,Lot_B,11.128,11.341,11.717,12.172,Healthy,0,0,0.2129999999999992,0.5890000000000004,1.0440000000000005,0.45500000000000007,0.07899999999999885,-1.5127080796159194,-0.4300000000000104,-0.043167408606496725,0.9404871153264851,0.9404871153264851,0,0.17335315658001138,0,0,12.241,1.113,0.00662,0,0
